Year,Agency Name,Name of Donor (Individual or Firm),Value of Donation,Agency Category,Donation Type,Unique Identifier,Gender,Age,Education Level,Employment Status,Internet Access,Marital Status,Ethnicity,Location
2019,Education (Department of),02M077 The Lower Lab School Parent Association Inc ; PRIV PTA GRANT 21  0,321764.56,Education,Monetary Donation,DONOR_55,Male,30.0,Masters Level,Full-Time,Yes,Single,White,Urban
2019,Education (Department of),02M077 The Lower Lab School Parent Teachers Association Inc ; PRIV PTA GRANT 13  9,840833.0,Education,Monetary Donation,DONOR_56,Male,40.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),02M116 Parents and Teachers Association of PS 116 Inc ; PRIV PTA GRANT 11  0,550498.92,Education,Monetary Donation,DONOR_57,Female,43.0,College,Full-Time,Yes,Married,Asian,Urban
2019,Education (Department of),02M150 Private PTA Grant ; PRIV PTA GRANT 08  6,100000.0,Education,Monetary Donation,DONOR_58,Male,40.0,Doctorate,Part-Time,Yes,Single,White,Urban
2019,Education (Department of),02M150 PS 150 PTA Inc ; PRIV PTA GRANT 14  7,100000.0,Education,Monetary Donation,DONOR_59,Female,41.0,College,Unemployed,Yes,Married,White,Rural
2019,Education (Department of),02M158 PS 158 Parents Association ; PRIV PTA GRANT 12  0,95000.0,Education,Monetary Donation,DONOR_60,Female,44.0,Masters Level,Unemployed,Yes,Divorced,White,Urban
2019,Education (Department of),02M158 PS 158 Parents Association ; PRIV PTA GRANT 26  9,53000.0,Education,Monetary Donation,DONOR_61,Female,26.0,High School or Less,Full-Time,Yes,Single,Hispanic or Latino,Suburban
2019,Education (Department of),02M158 PS 158 Parents Association ; PRIV PTA GRANT 30  7,60000.0,Education,Monetary Donation,DONOR_62,Female,41.0,College,Full-Time,No,Single,White,Urban
2019,Education (Department of),02M167 Wagner Middle School 167 Parents Association ; PRIV PTA GRANT 15  9,160000.0,Education,Monetary Donation,DONOR_63,Female,43.0,High School or Less,Full-Time,Yes,Married,Black or African American,Urban
2019,Education (Department of),02M167 Wagner Middle School 167 Parents Association ; PRIV PTA GRANT 18  0,130000.0,Education,Monetary Donation,DONOR_64,Female,63.0,High School or Less,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),02M183 PS 183 PTA ; PRIV PTA GRANT 04  0,300000.0,Education,Monetary Donation,DONOR_65,Male,30.0,College,Full-Time,Yes,Married,Other,Rural
2019,Education (Department of),02M183 PS 183 PTA ; PRIV PTA GRANT 07  9,254000.0,Education,Monetary Donation,DONOR_66,Male,43.0,College,Full-Time,Yes,Married,White,Suburban
2019,Education (Department of),02M198 PS 198 PTA ; PRIV PTA GRANT 08  9,38958.0,Education,Monetary Donation,DONOR_67,Male,25.0,High School or Less,Full-Time,Yes,Married,White,Rural
2019,Education (Department of),02M234 PS 234 PTA ; PRIV PTA GRANT 06  9,244063.0,Education,Monetary Donation,DONOR_68,Male,31.0,High School or Less,Full-Time,Yes,Single,White,Urban
2019,Education (Department of),02M255 Friends of the SALK School of Science ; PRIVATE GRANT  33  0,145000.0,Education,Monetary Donation,DONOR_69,Female,34.0,Masters Level,Part-Time,Yes,Married,White,Rural
2019,Education (Department of),02M255 Friends of the Salk School of Science ; PRIVATE GRANT  37  9,95500.0,Education,Monetary Donation,DONOR_70,Male,19.0,Doctorate,Full-Time,Yes,Married,Hispanic or Latino,Urban
2019,Education (Department of),02M260 Parent Association of the Clinton School for Writers & Artist ; PRIV PTA GRANT 19  0,40403.34,Education,Monetary Donation,DONOR_71,Female,30.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),02M276 PS/IS Parent Teacher Association Inc ; PRIV PTA GRANT 07  8,437900.0,Education,Monetary Donation,DONOR_72,Male,24.0,College,Full-Time,No,Married,White,Urban
2019,Education (Department of),02M290 MNS PTA Inc ; PRIV PTA GRANT 13  0,360000.0,Education,Monetary Donation,DONOR_73,Male,41.0,College,Full-Time,Yes,Single,White,Suburban
2019,Education (Department of),02M290 MNS PTA Inc. ; PRIV PTA GRANT 23  7,245000.0,Education,Monetary Donation,DONOR_74,Male,64.0,Masters Level,Unemployed,Yes,Married,Black or African American,Rural
2019,Education (Department of),02M297 MS 297 PTA ; PRIV PTA GRANT 24  0,25000.0,Education,Monetary Donation,DONOR_75,Female,19.0,Masters Level,Full-Time,Yes,Divorced,White,Rural
2019,Education (Department of),02M340 PS 340 Parent Teacher Association Inc ; PRIV PTA GRANT 23  0,100000.0,Education,Monetary Donation,DONOR_76,Male,31.0,College,Full-Time,Yes,Single,Black or African American,Urban
2019,Education (Department of),02M400 Friends of the High School for Environmental Studies Inc ; PRIVATE GRANT  45  9,50000.0,Education,Monetary Donation,DONOR_77,Female,44.0,Masters Level,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),02M400 In TR HS of Environmental Studies ; PRIVATE GRANT  38  9,13000.0,Education,Monetary Donation,DONOR_78,Female,21.0,College,Full-Time,Yes,Single,White,Urban
2019,Education (Department of),02M412 NYC Lab School Parents Association Inc ; PRIV PTA GRANT 29  9,49500.0,Education,Monetary Donation,DONOR_79,Female,18.0,College,Full-Time,Yes,Divorced,Asian,Suburban
2019,Education (Department of),02M475 Stuyvesant HS General School Fund ; PRIVATE GRANT  47  9,100000.0,Education,Monetary Donation,DONOR_80,Male,36.0,Doctorate,Full-Time,Yes,Married,Black or African American,Urban
2019,Education (Department of),02M527 PS 527 Parent Teacher Association ; PRIV PTA GRANT 02  0,313490.0,Education,Monetary Donation,DONOR_81,Male,24.0,College,Full-Time,Yes,Single,White,Rural
2019,Education (Department of),02M527 PS 527 Parent Teacher Association ; PRIV PTA GRANT 05  7,135000.0,Education,Monetary Donation,DONOR_82,Female,42.0,High School or Less,Full-Time,Yes,Single,White,Suburban
2019,Education (Department of),02M600 The Advisory Board of the HSFI ; PRIVATE GRANT  36  0,8563.0,Education,Monetary Donation,DONOR_83,Female,34.0,College,Full-Time,Yes,Married,White,Suburban
2019,Education (Department of),03M009 Parents of PS 9 INC (ART) ; PRIVATE GRANT  38  7,28182.0,Education,Monetary Donation,DONOR_84,Male,28.0,Doctorate,Part-Time,Yes,Married,White,Urban
2019,Education (Department of),03M009 Parents of PS 9 Inc (Assistant Teachers) ; PRIVATE GRANT  34  0,300000.0,Education,Monetary Donation,DONOR_85,Male,57.0,Doctorate,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),03M009 Parents of PS 9 Inc (Assistant Teachers)  ; PRIV PTA GRANT 05  9,463635.0,Education,Monetary Donation,DONOR_86,Female,30.0,Doctorate,Unemployed,Yes,Single,White,Suburban
2019,Education (Department of),03M009 Parents of PS 9 Inc (Spanish) ; PRIVATE GRANT  33  7,79387.0,Education,Monetary Donation,DONOR_87,Female,43.0,College,Full-Time,No,Married,Other,Urban
2019,Education (Department of),03M054 Middle School 54 PTA ; PRIV PTA GRANT 04  0,780000.0,Education,Monetary Donation,DONOR_88,Female,30.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),03M084 The Fund for PS 84 Inc ; PRIVATE GRANT  32  9,626452.12,Education,Monetary Donation,DONOR_89,Female,24.0,Masters Level,Part-Time,Yes,Single,White,Rural
2019,Education (Department of),03M084 The Fund for PS 84 INC ; PRIVATE GRANT  40  0,358751.82,Education,Monetary Donation,DONOR_90,Female,44.0,Masters Level,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),03M087 PS 87 PA Inc ; PRIV PTA GRANT 03  0,272200.0,Education,Monetary Donation,DONOR_91,Female,52.0,College,Full-Time,Yes,Married,Hispanic or Latino,Urban
2019,Education (Department of),03M087 PS 87 PA Inc ; PRIV PTA GRANT 11  9,448000.0,Education,Monetary Donation,DONOR_92,Female,24.0,High School or Less,Full-Time,Yes,Divorced,Black or African American,Urban
2019,Education (Department of),03M166 Friends of PS 166 Inc ; 03M166 Friends of PS 166 Inc (Afterschool program) ; PRIVATE GRANT  49  0,5900.0,Education,Monetary Donation,DONOR_93,Female,33.0,College,Full-Time,Yes,Single,White,Suburban
2019,Education (Department of),03M166 Friends of PS 166 Inc ; PRIVATE GRANT  33  9,566000.0,Education,Monetary Donation,DONOR_94,Male,40.0,High School or Less,Full-Time,Yes,Married,Asian,Suburban
2019,Education (Department of),03M166 Friends of PS 166 Inc ; PRIVATE GRANT  41  0,200000.0,Education,Monetary Donation,DONOR_95,Female,24.0,College,Full-Time,No,Married,Asian,Rural
2019,Education (Department of),03M199 PTA of PS 199 ; PRIV PTA GRANT 04  7,236998.0,Education,Monetary Donation,DONOR_96,Female,40.0,High School or Less,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),03M199 PTA of PS 199 ; PRIV PTA GRANT 05  0,226903.25,Education,Monetary Donation,DONOR_97,Male,19.0,College,Full-Time,Yes,Married,Black or African American,Urban
2019,Education (Department of),03M291 ; Saturday Academy Per Session ; SELF SUSTAINING 10 0,7400.0,Education,Monetary Donation,DONOR_98,Male,27.0,College,Unemployed,Yes,Single,Asian,Urban
2019,Education (Department of),03M334 Parents of PS 334 Inc The Anderson School PS 334 ; PRIVATE GRANT  37  0,592500.0,Education,Monetary Donation,DONOR_99,Male,47.0,High School or Less,Full-Time,Yes,Divorced,Asian,Urban
2019,Education (Department of),03M485 LaGuardia High School Parents Association ; PRIV PTA GRANT 16  9,321684.63,Education,Monetary Donation,DONOR_100,Female,36.0,Masters Level,Full-Time,No,Married,White,Urban
2019,Education (Department of),03M859 Special Music School of PTA ; PRIV PTA GRANT 02  0,7970.0,Education,Monetary Donation,DONOR_101,Female,59.0,College,Full-Time,Yes,Single,White,Rural
2019,Education (Department of),04M012 TAG PTA Inc ; PRIV PTA GRANT 01  9,264430.0,Education,Monetary Donation,DONOR_102,Female,26.0,Doctorate,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),04M012 TAG PTA Inc ; PRIV PTA GRANT 02  0,68459.54,Education,Monetary Donation,DONOR_103,Female,30.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),04M072 The New York Community Trust of Robert and Lynne Schwartz ; FOUNDATION GRNT 01 0,20000.0,Education,Monetary Donation,DONOR_104,Female,44.0,College,Full-Time,Yes,Married,Hispanic or Latino,Suburban
2019,Education (Department of),04M083 LDC i3 Teacher Leader PD Stipend    ; PRIVATE GRANT  40  9,44400.0,Education,Monetary Donation,DONOR_105,Female,42.0,High School or Less,Full-Time,Yes,Single,White,Rural
2019,Education (Department of),04M146 RSM US LLP ; PRIVATE GRANT  32  0,14507.05,Education,Monetary Donation,DONOR_106,Male,40.0,College,Full-Time,Yes,Married,White,Suburban
2019,Education (Department of),04M182 LDC i3 Teacher Leader PD Stipend ; PRIVATE GRANT  36  0,21000.0,Education,Monetary Donation,DONOR_107,Female,24.0,College,Full-Time,Yes,Divorced,Black or African American,Urban
2019,Education (Department of),04M182 LDC i3 Teacher Leader PD Stipend ; PRIVATE GRANT  41  9,6800.0,Education,Monetary Donation,DONOR_108,Female,63.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),04M495 Friends of Central Park East High School(East Harlem Partnership) ; PRIVATE GRANT  34  0,71558.0,Education,Monetary Donation,DONOR_109,Female,47.0,College,Full-Time,Yes,Single,White,Suburban
2019,Education (Department of),06M187 PS-IS 187 Hudson Cliffs Parents Organization Inc ; PRIV PTA GRANT 01  9,42000.0,Education,Monetary Donation,DONOR_110,Female,38.0,Masters Level,Unemployed,No,Married,White,Urban
2019,Education (Department of),13K003 - LDC i3 Teacher Leader PD Stipend ; PRIVATE GRANT  32  9,5400.0,Education,Monetary Donation,DONOR_111,Male,24.0,Doctorate,Full-Time,Yes,Single,White,Urban
2019,Education (Department of),13K008 PTA Donation for Shared Services with Westinghouse HS ; PRIV PTA GRANT 05  9,6864.0,Education,Monetary Donation,DONOR_112,Female,21.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),13K282 PTO/Parent Teacher Organization Donation ; PRIV PTA GRANT 04  9,43570.0,Education,Monetary Donation,DONOR_113,Male,29.0,Masters Level,Full-Time,Yes,Single,Hispanic or Latino,Urban
2019,Education (Department of),13K492 Parent Association  Donation ; PRIV PTA GRANT 04  0,225338.0,Education,Monetary Donation,DONOR_114,Female,42.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),13K492 Parent Association Donation ; PRIV PTA GRANT 02  9,484833.0,Education,Monetary Donation,DONOR_115,Female,25.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),14K031 PTA Donation   ; PRIV PTA GRANT 02  9,40434.0,Education,Monetary Donation,DONOR_116,Female,20.0,College,Full-Time,Yes,Married,Hispanic or Latino,Urban
2019,Education (Department of),14K031 PTA Donation ; PRIV PTA GRANT 02  0,40475.0,Education,Monetary Donation,DONOR_117,Male,30.0,College,Full-Time,No,Widowed,Asian,Urban
2019,Education (Department of),15K010 PTA Donation ; PRIV PTA GRANT 10  9,75000.0,Education,Monetary Donation,DONOR_118,Male,24.0,College,Part-Time,Yes,Married,Black or African American,Urban
2019,Education (Department of),15K029 - Parent Teacher Association Donation ; PRIV PTA GRANT 06  0,417000.0,Education,Monetary Donation,DONOR_119,Female,27.0,College,Full-Time,Yes,Divorced,Black or African American,Urban
2019,Education (Department of),15K032 PTA Donation ; PRIV PTA GRANT 13  9,35500.0,Education,Monetary Donation,DONOR_120,Male,44.0,College,Full-Time,No,Married,White,Rural
2019,Education (Department of),15K039 PA Donation ; PRIV PTA GRANT 10  0,110045.0,Education,Monetary Donation,DONOR_121,Male,64.0,Doctorate,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),15K058 PTA Donation ; PRIV PTA GRANT 02  0,111408.86,Education,Monetary Donation,DONOR_122,Male,43.0,College,Full-Time,Yes,Married,Hispanic or Latino,Suburban
2019,Education (Department of),15K107 PTA Donation ; PRIV PTA GRANT 05  0,155684.97,Education,Monetary Donation,DONOR_123,Female,25.0,High School or Less,Full-Time,Yes,Single,White,Suburban
2019,Education (Department of),15K118 PTA Donation ; PRIV PTA GRANT 06  9,133289.0,Education,Monetary Donation,DONOR_124,Female,24.0,Doctorate,Full-Time,Yes,Married,White,Rural
2019,Education (Department of),15K146 - BNS After School Donation ; PRIV PTA GRANT 08  0,210000.0,Education,Monetary Donation,DONOR_125,Female,26.0,College,Full-Time,Yes,Married,Asian,Suburban
2019,Education (Department of),15K146 After School Program ; PRIVATE GRANT  30  9,330000.0,Education,Monetary Donation,DONOR_126,Female,31.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),15K154 PTA Donation ; PRIV PTA GRANT 05  9,141625.0,Education,Monetary Donation,DONOR_127,Male,32.0,High School or Less,Full-Time,Yes,Married,Black or African American,Urban
2019,Education (Department of),15K172 After School Program ; PRIVATE GRANT  31  9,255000.0,Education,Monetary Donation,DONOR_128,Female,50.0,College,Full-Time,Yes,Single,White,Suburban
2019,Education (Department of),15K261 PTA Donation ; PRIV PTA GRANT 07  0,40548.48,Education,Monetary Donation,DONOR_129,Female,34.0,College,Full-Time,Yes,Widowed,White,Urban
2019,Education (Department of),15K261 PTA Donation ; PRIV PTA GRANT 16  9,46345.0,Education,Monetary Donation,DONOR_130,Male,25.0,Masters Level,Part-Time,Yes,Married,Black or African American,Urban
2019,Education (Department of),15K321 PTA Donation ; PRIV PTA GRANT 02  9,615095.25,Education,Monetary Donation,DONOR_131,Male,39.0,High School or Less,Part-Time,Yes,Married,Black or African American,Rural
2019,Education (Department of),15K321 PTA Donation ; PRIV PTA GRANT 04  0,630000.0,Education,Monetary Donation,DONOR_132,Male,26.0,College,Full-Time,Yes,Divorced,White,Urban
2019,Education (Department of),15K418/PS 372 PTA Donation ; PRIV PTA GRANT 15  9,61000.0,Education,Monetary Donation,DONOR_133,Female,30.0,High School or Less,Part-Time,No,Married,White,Suburban
2019,Education (Department of),15KP15 Pre-K Centers After School Program ; PRIVATE GRANT  34  9,175286.0,Education,Monetary Donation,DONOR_134,Female,59.0,High School or Less,Full-Time,No,Married,White,Urban
2019,Education (Department of),16K309 Pre-K After School Program ; PRIVATE GRANT  30  9,13100.0,Education,Monetary Donation,DONOR_135,Female,38.0,College,Full-Time,Yes,Single,White,Urban
2019,Education (Department of),16K309 Pre-K Afterschool Program ; PRIVATE GRANT  30  0,9000.0,Education,Monetary Donation,DONOR_136,Male,41.0,High School or Less,Full-Time,Yes,Married,Hispanic or Latino,Urban
2019,Education (Department of),19K364 - LDC i3 Teacher Leader PD Stipend ; PRIVATE GRANT  39  9,5700.0,Education,Monetary Donation,DONOR_137,Female,26.0,College,Full-Time,Yes,Married,White,Urban
2019,Education (Department of),19K364 - MorningSide Center for Teaching Social Responsibility Grant ; PRIVATE GRANT  45  9,9168.44,Education,Monetary Donation,DONOR_138,Female,32.0,Doctorate,Full-Time,No,Married,Hispanic or Latino,Urban
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 64    9,1200000.0,Education,Monetary Donation,DONOR_139,Male,23.0,Masters Level,Full-Time,Yes,Married,Asian,Urban
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 65    9,2400000.0,Education,Monetary Donation,DONOR_140,Male,51.0,College,Part-Time,Yes,Married,Other,Suburban
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 66    9,1200000.0,Education,Monetary Donation,DONOR_141,Male,35.0,College,Full-Time,Yes,Single,Hispanic or Latino,Urban
