Year,Agency Name,Name of Donor (Individual or Firm),Type of Donation,Value of Donation
2019,Education (Department of),02M041 PS 41 PTA ; PRIV PTA GRANT 10  0,Money,"$150,000.00"
2019,Education (Department of),02M059 PTA of PS 59 ; PRIV PTA GRANT 06  0,Money,"$547,500.00"
2019,Education (Department of),02M059 PTA PS 59 Inc ; PRIV PTA GRANT 01  9,Money,"$259,000.00"
2019,Education (Department of),02M077 The Lower Lab School Parent Association Inc ; PRIV PTA GRANT 21  0,Money,"$321,764.56"
2019,Education (Department of),02M077 The Lower Lab School Parent Teachers Association Inc ; PRIV PTA GRANT 13  9,Money,"$840,833.00"
2019,Education (Department of),02M116 Parents and Teachers Association of PS 116 Inc ; PRIV PTA GRANT 11  0,Money,"$550,498.92"
2019,Education (Department of),02M150 Private PTA Grant ; PRIV PTA GRANT 08  6,Money,"$100,000.00"
2019,Education (Department of),02M150 PS 150 PTA Inc ; PRIV PTA GRANT 14  7,Money,"$100,000.00"
2019,Education (Department of),02M158 PS 158 Parents Association ; PRIV PTA GRANT 12  0,Money,"$95,000.00"
2019,Education (Department of),02M158 PS 158 Parents Association ; PRIV PTA GRANT 26  9,Money,"$53,000.00"
2019,Education (Department of),02M158 PS 158 Parents Association ; PRIV PTA GRANT 30  7,Money,"$60,000.00"
2019,Education (Department of),02M167 Wagner Middle School 167 Parents Association ; PRIV PTA GRANT 15  9,Money,"$160,000.00"
2019,Education (Department of),02M167 Wagner Middle School 167 Parents Association ; PRIV PTA GRANT 18  0,Money,"$130,000.00"
2019,Education (Department of),02M183 PS 183 PTA ; PRIV PTA GRANT 04  0,Money,"$300,000.00"
2019,Education (Department of),02M183 PS 183 PTA ; PRIV PTA GRANT 07  9,Money,"$254,000.00"
2019,Education (Department of),02M198 PS 198 PTA ; PRIV PTA GRANT 08  9,Money,"$38,958.00"
2019,Education (Department of),02M234 PS 234 PTA ; PRIV PTA GRANT 06  9,Money,"$244,063.00"
2019,Education (Department of),02M255 Friends of the SALK School of Science ; PRIVATE GRANT  33  0,Money,"$145,000.00"
2019,Education (Department of),02M255 Friends of the Salk School of Science ; PRIVATE GRANT  37  9,Money,"$95,500.00"
2019,Education (Department of),02M260 Parent Association of the Clinton School for Writers & Artist ; PRIV PTA GRANT 19  0,Money,"$40,403.34"
2019,Education (Department of),02M276 PS/IS Parent Teacher Association Inc ; PRIV PTA GRANT 07  8,Money,"$437,900.00"
2019,Education (Department of),02M290 MNS PTA Inc ; PRIV PTA GRANT 13  0,Money,"$360,000.00"
2019,Education (Department of),02M290 MNS PTA Inc. ; PRIV PTA GRANT 23  7,Money,"$245,000.00"
2019,Education (Department of),02M297 MS 297 PTA ; PRIV PTA GRANT 24  0,Money,"$25,000.00"
2019,Education (Department of),02M340 PS 340 Parent Teacher Association Inc ; PRIV PTA GRANT 23  0,Money,"$100,000.00"
2019,Education (Department of),02M400 Friends of the High School for Environmental Studies Inc ; PRIVATE GRANT  45  9,Money,"$50,000.00"
2019,Education (Department of),02M400 In TR HS of Environmental Studies ; PRIVATE GRANT  38  9,Money,"$13,000.00"
2019,Education (Department of),02M412 NYC Lab School Parents Association Inc ; PRIV PTA GRANT 29  9,Money,"$49,500.00"
2019,Education (Department of),02M475 Stuyvesant HS General School Fund ; PRIVATE GRANT  47  9,Money,"$100,000.00"
2019,Education (Department of),02M527 PS 527 Parent Teacher Association ; PRIV PTA GRANT 02  0,Money,"$313,490.00"
2019,Education (Department of),02M527 PS 527 Parent Teacher Association ; PRIV PTA GRANT 05  7,Money,"$135,000.00"
2019,Education (Department of),02M600 The Advisory Board of the HSFI ; PRIVATE GRANT  36  0,Money,"$8,563.00"
2019,Education (Department of),03M009 Parents of PS 9 INC (ART) ; PRIVATE GRANT  38  7,Money,"$28,182.00"
2019,Education (Department of),03M009 Parents of PS 9 Inc (Assistant Teachers) ; PRIVATE GRANT  34  0,Money,"$300,000.00"
2019,Education (Department of),03M009 Parents of PS 9 Inc (Assistant Teachers)  ; PRIV PTA GRANT 05  9,Money,"$463,635.00"
2019,Education (Department of),03M009 Parents of PS 9 Inc (Spanish) ; PRIVATE GRANT  33  7,Money,"$79,387.00"
2019,Education (Department of),03M054 Middle School 54 PTA ; PRIV PTA GRANT 04  0,Money,"$780,000.00"
2019,Education (Department of),03M084 The Fund for PS 84 Inc ; PRIVATE GRANT  32  9,Money,"$626,452.12"
2019,Education (Department of),03M084 The Fund for PS 84 INC ; PRIVATE GRANT  40  0,Money,"$358,751.82"
2019,Education (Department of),03M087 PS 87 PA Inc ; PRIV PTA GRANT 03  0,Money,"$272,200.00"
2019,Education (Department of),03M087 PS 87 PA Inc ; PRIV PTA GRANT 11  9,Money,"$448,000.00"
2019,Education (Department of),03M166 Friends of PS 166 Inc ; 03M166 Friends of PS 166 Inc (Afterschool program) ; PRIVATE GRANT  49  0,Money,"$5,900.00"
2019,Education (Department of),03M166 Friends of PS 166 Inc ; PRIVATE GRANT  33  9,Money,"$566,000.00"
2019,Education (Department of),03M166 Friends of PS 166 Inc ; PRIVATE GRANT  41  0,Money,"$200,000.00"
2019,Education (Department of),03M199 PTA of PS 199 ; PRIV PTA GRANT 04  7,Money,"$236,998.00"
2019,Education (Department of),03M199 PTA of PS 199 ; PRIV PTA GRANT 05  0,Money,"$226,903.25"
2019,Education (Department of),03M291 ; Saturday Academy Per Session ; SELF SUSTAINING 10 0,Money,"$7,400.00"
2019,Education (Department of),03M334 Parents of PS 334 Inc The Anderson School PS 334 ; PRIVATE GRANT  37  0,Money,"$592,500.00"
2019,Education (Department of),03M485 LaGuardia High School Parents Association ; PRIV PTA GRANT 16  9,Money,"$321,684.63"
2019,Education (Department of),03M859 Special Music School of PTA ; PRIV PTA GRANT 02  0,Money,"$7,970.00"
2019,Education (Department of),04M012 TAG PTA Inc ; PRIV PTA GRANT 01  9,Money,"$264,430.00"
2019,Education (Department of),04M012 TAG PTA Inc ; PRIV PTA GRANT 02  0,Money,"$68,459.54"
2019,Education (Department of),04M072 The New York Community Trust of Robert and Lynne Schwartz ; FOUNDATION GRNT 01 0,Money,"$20,000.00"
2019,Education (Department of),04M083 LDC i3 Teacher Leader PD Stipend    ; PRIVATE GRANT  40  9,Money,"$44,400.00"
2019,Education (Department of),04M146 RSM US LLP ; PRIVATE GRANT  32  0,Money,"$14,507.05"
2019,Education (Department of),04M182 LDC i3 Teacher Leader PD Stipend ; PRIVATE GRANT  36  0,Money,"$21,000.00"
2019,Education (Department of),04M182 LDC i3 Teacher Leader PD Stipend ; PRIVATE GRANT  41  9,Money,"$6,800.00"
2019,Education (Department of),04M495 Friends of Central Park East High School(East Harlem Partnership) ; PRIVATE GRANT  34  0,Money,"$71,558.00"
2019,Education (Department of),06M187 PS-IS 187 Hudson Cliffs Parents Organization Inc ; PRIV PTA GRANT 01  9,Money,"$42,000.00"
2019,Education (Department of),13K003 - LDC i3 Teacher Leader PD Stipend ; PRIVATE GRANT  32  9,Money,"$5,400.00"
2019,Education (Department of),13K008 PTA Donation for Shared Services with Westinghouse HS ; PRIV PTA GRANT 05  9,Money,"$6,864.00"
2019,Education (Department of),13K282 PTO/Parent Teacher Organization Donation ; PRIV PTA GRANT 04  9,Money,"$43,570.00"
2019,Education (Department of),13K492 Parent Association  Donation ; PRIV PTA GRANT 04  0,Money,"$225,338.00"
2019,Education (Department of),13K492 Parent Association Donation ; PRIV PTA GRANT 02  9,Money,"$484,833.00"
2019,Education (Department of),14K031 PTA Donation   ; PRIV PTA GRANT 02  9,Money,"$40,434.00"
2019,Education (Department of),14K031 PTA Donation ; PRIV PTA GRANT 02  0,Money,"$40,475.00"
2019,Education (Department of),15K010 PTA Donation ; PRIV PTA GRANT 10  9,Money,"$75,000.00"
2019,Education (Department of),15K029 - Parent Teacher Association Donation ; PRIV PTA GRANT 06  0,Money,"$417,000.00"
2019,Education (Department of),15K032 PTA Donation ; PRIV PTA GRANT 13  9,Money,"$35,500.00"
2019,Education (Department of),15K039 PA Donation ; PRIV PTA GRANT 10  0,Money,"$110,045.00"
2019,Education (Department of),15K058 PTA Donation ; PRIV PTA GRANT 02  0,Money,"$111,408.86"
2019,Education (Department of),15K107 PTA Donation ; PRIV PTA GRANT 05  0,Money,"$155,684.97"
2019,Education (Department of),15K118 PTA Donation ; PRIV PTA GRANT 06  9,Money,"$133,289.00"
2019,Education (Department of),15K146 - BNS After School Donation ; PRIV PTA GRANT 08  0,Money,"$210,000.00"
2019,Education (Department of),15K146 After School Program ; PRIVATE GRANT  30  9,Money,"$330,000.00"
2019,Education (Department of),15K154 PTA Donation ; PRIV PTA GRANT 05  9,Money,"$141,625.00"
2019,Education (Department of),15K172 After School Program ; PRIVATE GRANT  31  9,Money,"$255,000.00"
2019,Education (Department of),15K261 PTA Donation ; PRIV PTA GRANT 07  0,Money,"$40,548.48"
2019,Education (Department of),15K261 PTA Donation ; PRIV PTA GRANT 16  9,Money,"$46,345.00"
2019,Education (Department of),15K321 PTA Donation ; PRIV PTA GRANT 02  9,Money,"$615,095.25"
2019,Education (Department of),15K321 PTA Donation ; PRIV PTA GRANT 04  0,Money,"$630,000.00"
2019,Education (Department of),15K418/PS 372 PTA Donation ; PRIV PTA GRANT 15  9,Money,"$61,000.00"
2019,Education (Department of),15KP15 Pre-K Centers After School Program ; PRIVATE GRANT  34  9,Money,"$175,286.00"
2019,Education (Department of),16K309 Pre-K After School Program ; PRIVATE GRANT  30  9,Money,"$13,100.00"
2019,Education (Department of),16K309 Pre-K Afterschool Program ; PRIVATE GRANT  30  0,Money,"$9,000.00"
2019,Education (Department of),19K364 - LDC i3 Teacher Leader PD Stipend ; PRIVATE GRANT  39  9,Money,"$5,700.00"
2019,Education (Department of),19K364 - MorningSide Center for Teaching Social Responsibility Grant ; PRIVATE GRANT  45  9,Money,"$9,168.44"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 64    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 65    9,Money,"$2,400,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 66    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 67    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 68    9,Money,"$2,400,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 69    9,Money,"$1,920,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 70    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 71    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 72    9,Money,"$1,760,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 73    9,Money,"$940,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 74    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 75    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 76    9,Money,"$2,400,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 77    9,Money,"$2,400,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 78    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 79    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 80    9,Money,"$2,400,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 81    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7    ; 21ST CENTURY 82    9,Money,"$1,372,558.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7 ; 21ST CENTURY 60    9,Money,"$1,200,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7 ; 21ST CENTURY 61    9,Money,"$2,400,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7 ; 21ST CENTURY 62    9,Money,"$1,920,000.00"
2019,Education (Department of),21st Century Community Learning Centers (ESSA) - Round 7 ; 21ST CENTURY 63    9,Money,"$1,200,000.00"
2019,Education (Department of),21st CENTURY COMMUNITY LEARNING CENTERS (ESSA)- ROUND 7 ; 21ST CENTURY 60    0,Money,"$1,200,000.00"
2019,Education (Department of),24q005 AMNGH for per diem ; PRIVATE GRANT  46  9,Money,"$10,547.85"
2019,Education (Department of),24q019 PD coverage St John ; PRIVATE GRANT  38  9,Money,"$7,554.00"
2019,Education (Department of),24q128 PTA enrichment ; PRIV PTA GRANT 02  0,Money,"$22,000.00"
2019,Education (Department of),26q018 funds ; PRIVATE GRANT  30  0,Money,"$12,000.00"
2019,Education (Department of),26q026 self sustaining after school ; SELF SUSTAINING 35 9,Money,"$10,650.00"
2019,Education (Department of),26q031 After school ; SELF SUSTAINING 14 9,Money,"$456,640.00"
2019,Education (Department of),26q031 Self sustaining funds for after school ; SELF SUSTAINING 14 0,Money,"$75,050.00"
2019,Education (Department of),26q046 self sustaining after school ; SELF SUSTAINING 13 9,Money,"$294,200.00"
2019,Education (Department of),26q067 per session ; PRIV PTA GRANT 03  0,Money,"$13,500.00"
2021,Education (Department of),Military,Money,"$855,652.00"
2019,Education (Department of),26q074 Am fitness and drama ; SELF SUSTAINING 25 9,Money,"$13,914.50"
2019,Education (Department of),26q074 Fitness and Purchasing ; SELF SUSTAINING 50 0,Money,"$19,371.82"
2019,Education (Department of),26q094 self sustaining ; PRIV PTA GRANT 06  6,Money,"$94,947.51"
2019,Education (Department of),26q098 after school ; SELF SUSTAINING 23 9,Money,"$270,000.00"
2019,Education (Department of),26q098 PTA Art Teacher ; PRIV PTA GRANT 02  0,Money,"$29,952.68"
2019,Education (Department of),26q098 self sustaining ; SELF SUSTAINING 40 0,Money,"$188,000.00"
2019,Education (Department of),26q158 AMNH ; PRIVATE GRANT  36  9,Money,"$5,115.36"
2019,Education (Department of),26q162 After school ; SELF SUSTAINING 31 9,Money,"$16,500.00"
2019,Education (Department of),26Q173 ; Self-Sustaining Funds ; SELF SUSTAINING 11 0,Money,"$20,000.00"
2019,Education (Department of),26q173 self sustaining ; SELF SUSTAINING 21 9,Money,"$42,990.00"
2019,Education (Department of),26q188 self sustaining ; SELF SUSTAINING 29 9,Money,"$174,819.16"
2019,Education (Department of),26q188 self sustaining after school ; SELF SUSTAINING 29 0,Money,"$40,140.63"
2019,Education (Department of),26q191 self sustaining ; SELF SUSTAINING 22 9,Money,"$46,300.00"
2019,Education (Department of),26q203 self sustaining after school   ; SELF SUSTAINING 16 0,Money,"$50,000.00"
2019,Education (Department of),26q203 Self Sustaining payroll ; SELF SUSTAINING 30 9,Money,"$65,000.00"
2019,Education (Department of),26q205 after school self sustaining ; SELF SUSTAINING 28 0,Money,"$57,000.00"
2019,Education (Department of),26q205 Ss after school ; SELF SUSTAINING 28 9,Money,"$231,000.00"
2019,Education (Department of),26q213 self sustaining after school ; SELF SUSTAINING 20 9,Money,"$306,000.00"
2019,Education (Department of),26q221 Self Sustaining ; SELF SUSTAINING 34 0,Money,"$129,000.00"
2019,Education (Department of),26q221 SS after school program ; SELF SUSTAINING 18 9,Money,"$402,437.24"
2019,Education (Department of),26q266 for technology and supplies ; PRIV PTA GRANT 04  9,Money,"$6,123.80"
2019,Education (Department of),26q415 non league PSAL officials ; PRIVATE GRANT  35  9,Money,"$10,488.00"
2019,Education (Department of),27q114 PTA ; PRIV PTA GRANT 01  9,Money,"$31,300.00"
2019,Education (Department of),27q323 Renaissance Dissemination grant ; PRIVATE GRANT  31  9,Money,"$7,456.24"
2019,Education (Department of),28Q048 - LDC i3 teacher leader stipend   ; PRIVATE GRANT  41  9,Money,"$6,100.00"
2019,Education (Department of),28q099 PTA After school payroll ; PRIV PTA GRANT 04  0,Money,"$120,000.00"
2019,Education (Department of),28q099 PTA afterschool ; PRIV PTA GRANT 07  9,Money,"$340,000.00"
2019,Education (Department of),28q101 PTA ; PRIV PTA GRANT 03  9,Money,"$300,000.00"
2019,Education (Department of),28q139 PTA ; PRIV PTA GRANT 06  9,Money,"$26,200.00"
2019,Education (Department of),28q144 after school ; PRIV PTA GRANT 04  9,Money,"$222,000.00"
2019,Education (Department of),28q144 PTA after school ; PRIV PTA GRANT 05  0,Money,"$144,380.30"
2019,Education (Department of),28q174 PTA after school funds ; PRIV PTA GRANT 08  9,Money,"$24,100.00"
2019,Education (Department of),28q174 PTA after school funds and STEM ; PRIV PTA GRANT 08  9,Money,"$62,610.00"
2019,Education (Department of),28q174 PTA funds after school ; PRIV PTA GRANT 06  0,Money,"$15,977.50"
2019,Education (Department of),28q190 PTA ; PRIV PTA GRANT 30  0,Money,"$45,288.53"
2019,Education (Department of),28q190 PTA after school ; PRIV PTA GRANT 05  9,Money,"$87,549.00"
2019,Education (Department of),28q620 DOWNTOWN REVITALIZATION INITIATIVE FOR JAMAICA ; STATE MISC. 02     9,Money,"$165,000.00"
2019,Education (Department of),29q116 - LDC i3 teacher leader stipend ; PRIVATE GRANT  42  9,Money,"$6,400.00"
2019,Education (Department of),29q116 OTPS ; PRIVATE GRANT  34  9,Money,"$6,000.00"
2019,Education (Department of),29q208 After-school ; PRIV PTA GRANT 01  8,Money,"$135,086.25"
2019,Education (Department of),29q208 After-school ; PRIV PTA GRANT 01  9,Money,"$147,536.25"
2019,Education (Department of),30q084 self sustaining program ; SELF SUSTAINING 10 9,Money,"$20,260.00"
2019,Education (Department of),30q286 Lead the way ; PRIVATE GRANT  38  9,Money,"$20,000.00"
2019,Education (Department of),30q300 PTA for Teaching Assistants ; PRIV PTA GRANT 02  0,Money,"$82,663.36"
2019,Education (Department of),30q300 PTA Teaching Assistants ; PRIV PTA GRANT 01  9,Money,"$166,765.62"
2019,Education (Department of),30q575 for Saturday Academy ; PRIVATE GRANT  36  9,Money,"$37,303.24"
2019,Education (Department of),31R006 Afterschool Enrichment ; SELF SUSTAINING 17 0,Money,"$17,000.00"
2019,Education (Department of),31R023 After School Center ; SELF SUSTAINING 48 9,Money,"$29,000.00"
2019,Education (Department of),31R023 PTA Gift for Band Teacher ; PRIV PTA GRANT 10  0,Money,"$30,977.90"
2019,Education (Department of),31R024 ASC SHSAT Program ; SELF SUSTAINING 97 0,Money,"$10,395.39"
2019,Education (Department of),31R026 Early Morning/Afterschool Program ; SELF SUSTAINING 40 0,Money,"$81,235.00"
2019,Education (Department of),31R042 MORNING CARE PROGRAM ; SELF SUSTAINING 59 9,Money,"$548,980.00"
2019,Education (Department of),31R042 Self Sustaining After School Center ; SELF SUSTAINING 41 0,Money,"$51,100.00"
2019,Education (Department of),31R050 After School Center ; SELF SUSTAINING 23 9,Money,"$93,000.00"
2019,Education (Department of),31R050 Self Sustaining After School Center ; SELF SUSTAINING 23 0,Money,"$24,500.00"
2019,Education (Department of),31R050 Self Sustaining Latchkey Program ; SELF SUSTAINING 90 0,Money,"$290,000.00"
2019,Education (Department of),31R054 Charles W. Leng PS 54 ; Band Program at 31R054 ; SELF SUSTAINING 81 0,Money,"$5,400.00"
2019,Education (Department of),31R063 ; After School Program ; SELF SUSTAINING 78 0,Money,"$12,300.00"
2019,Education (Department of),31R069 Self Sustaining Afterschool Latchkey Program ; SELF SUSTAINING 20 0,Money,"$431,000.00"
2019,Education (Department of),75 Parent Teacher Association ; 03M075 75 Parent Teacher Association ; PRIV PTA GRANT 10  0,Money,"$10,500.00"
2019,Education (Department of),97E690 - Everyday Arts Network ; MISC FED GRANT 92  7,Money,"$348,263.00"
2019,Education (Department of),97E690 - Everyday Arts Network ; MISC FED GRANT 92  8,Money,"$349,927.00"
2019,Education (Department of),97E690 - UFT Sub coverage for Paraprofessionals ; PRIVATE GRANT  32  9,Money,"$1,059,756.00"
2019,Education (Department of),ACE Foundation ; PS 36K - Science ; Fund for Public Schools ; FUNDS PUB SCHL 351 9,Money,"$11,760.00"
2019,Education (Department of),After School Care Program at 31R023 ; SELF SUSTAINING 27 0,Money,"$80,000.00"
2019,Education (Department of),After School Care Program at 31R023. ; SELF SUSTAINING 27 9,Money,"$370,000.00"
2019,Education (Department of),After School Center at 31R003 ; SELF SUSTAINING 55 0,Money,"$10,000.00"
2019,Education (Department of),After School Center at 31R042 ; SELF SUSTAINING 41 9,Money,"$104,890.00"
2019,Education (Department of),After School Center is 31R075 ; SELF SUSTAINING 43 9,Money,"$62,991.00"
2019,Education (Department of),After School Center Program at 31R053 ; SELF SUSTAINING 72 0,Money,"$15,590.00"
2019,Education (Department of),After School Center Program at 31R053 ; SELF SUSTAINING 72 9,Money,"$78,309.00"
2019,Education (Department of),After School Center Program at 31R053 ; SELF SUSTAINING 74 0,Money,"$229,590.00"
2019,Education (Department of),After School Center Program at 31R055 ; SELF SUSTAINING 35 9,Money,"$18,000.00"
2019,Education (Department of),After School Club at 31R060 ; SELF SUSTAINING 73 0,Money,"$8,000.00"
2019,Education (Department of),After School Club at 31R060 ; SELF SUSTAINING 73 9,Money,"$840,500.00"
2019,Education (Department of),After School Enrichment at 22K277 ; PRIV PTA GRANT 02  9,Money,"$16,921.35"
2019,Education (Department of),After School Enrichment Program 31R006 ; SELF SUSTAINING 17 9,Money,"$81,000.00"
2019,Education (Department of),After School enrichment Program at 31R001 ; SELF SUSTAINING 70 9,Money,"$10,500.00"
2019,Education (Department of),After School Latchkey Program at 31R004 ; SELF SUSTAINING 30 9,Money,"$280,000.00"
2019,Education (Department of),After School Latchkey Program at 31R035 ; SELF SUSTAINING 10 0,Money,"$202,865.00"
2019,Education (Department of),After School Latchkey Program at 31R035 ; SELF SUSTAINING 10 9,Money,"$527,525.00"
2019,Education (Department of),After School Program ; SELF SUSTAINING 78 9,Money,"$66,760.00"
